type,subtype,date,site,location,city,region,accident_type
Injury & Riddor,E - No Lost Time Personal Injury,16/05/2016 07:15,Birmingham Highways - Highways Maintenance Opex,In depot / yard,Birmingham,West Midlands,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,E - No Lost Time Personal Injury,10/09/2015 12:30,Birmingham Highways - Highways Maintenance Opex,On highway,Birmingham,West Midlands,J-Exposure or contact with a harmful substance
Injury & Riddor,E - No Lost Time Personal Injury,14/08/2016 00:00,Birmingham Highways - Highways Maintenance Opex,General,Birmingham,West Midlands,J-Exposure or contact with a harmful substance
Injury & Riddor,E - No Lost Time Personal Injury,17/05/2013 13:45,Birmingham Highways - Highways Maintenance Opex,On highway,Birmingham,West Midlands,K-Exposure to fire / heat
Injury & Riddor,E - No Lost Time Personal Injury,30/04/2014 10:27,Birmingham Highways - Highways Maintenance Opex,On highway,Birmingham,West Midlands,C-Struck by a moving vehicle
Injury & Riddor,E - No Lost Time Personal Injury,21/12/2016 12:00,Birmingham Highways - Highways Maintenance Opex,General,Birmingham,West Midlands,P-Other
Injury & Riddor,E - No Lost Time Personal Injury,07/08/2014 11:30,Birmingham Highways - Lighting,On highway,Birmingham,West Midlands,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,E - No Lost Time Personal Injury,23/03/2014 11:45,Birmingham Highways - Lighting,On highway,Birmingham,West Midlands,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,E - No Lost Time Personal Injury,18/10/2016 04:50,Birmingham Highways - Lighting,In depot / yard,Birmingham,West Midlands,
Close Call or Near Miss,I - Close Call,22/10/2013 15:00,Birmingham Highways - Lighting,,Birmingham,West Midlands,"F-Slipped, tripped or fell on the same level"
Injury & Riddor,E - No Lost Time Personal Injury,22/07/2014 11:15,Birmingham Highways - Lighting,Outdoors (not highway or railway),Birmingham,West Midlands,"B-Struck by moving, flying or falling object"
Injury & Riddor,E - No Lost Time Personal Injury,22/07/2014 11:15,Birmingham Highways - Lighting,Outdoors (not highway or railway),Birmingham,West Midlands,P-Other
Injury & Riddor,R - Non Work Related Incident,10/09/2014 00:00,Birmingham Highways - Lighting,On highway,Birmingham,West Midlands,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,C - RIDDOR Over 7 Days,01/05/2015 22:30,Birmingham Highways - Lighting,On highway,Birmingham,West Midlands,"B-Struck by moving, flying or falling object"
Injury & Riddor,R - Non Work Related Incident,24/01/2013 07:15,Birmingham Highways - Lighting,In depot / yard,Birmingham,West Midlands,"F-Slipped, tripped or fell on the same level"
Injury & Riddor,E - No Lost Time Personal Injury,18/09/2014 09:00,Birmingham Highways - Lighting,In depot / yard,Birmingham,West Midlands,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,B - RIDDOR Specified Injury,09/04/2013 15:00,Birmingham Highways - Lighting,In depot / yard,Birmingham,West Midlands,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,B - RIDDOR Specified Injury,09/04/2013 15:00,Birmingham Highways - Lighting,In depot / yard,Birmingham,West Midlands,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,B - RIDDOR Specified Injury,09/04/2013 15:00,Birmingham Highways - Lighting,In depot / yard,Birmingham,West Midlands,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,B - RIDDOR Specified Injury,09/04/2013 15:00,Birmingham Highways - Lighting,In depot / yard,Birmingham,West Midlands,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,B - RIDDOR Specified Injury,09/04/2013 15:00,Birmingham Highways - Lighting,In depot / yard,Birmingham,West Midlands,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,B - RIDDOR Specified Injury,09/04/2013 15:00,Birmingham Highways - Lighting,In depot / yard,Birmingham,West Midlands,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,E - No Lost Time Personal Injury,21/02/2014 10:30,Birmingham Highways - Lighting,In depot / yard,Birmingham,West Midlands,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,C - RIDDOR Over 7 Days,25/02/2014 09:30,Birmingham Highways - Lighting,In depot / yard,Birmingham,West Midlands,"B-Struck by moving, flying or falling object"
Injury & Riddor,C - RIDDOR Over 7 Days,25/02/2014 09:30,Birmingham Highways - Lighting,In depot / yard,Birmingham,West Midlands,"B-Struck by moving, flying or falling object"
Injury & Riddor,C - RIDDOR Over 7 Days,25/02/2014 09:30,Birmingham Highways - Lighting,In depot / yard,Birmingham,West Midlands,"B-Struck by moving, flying or falling object"
Injury & Riddor,C - RIDDOR Over 7 Days,25/02/2014 09:30,Birmingham Highways - Lighting,In depot / yard,Birmingham,West Midlands,"B-Struck by moving, flying or falling object"
Injury & Riddor,C - RIDDOR Over 7 Days,25/02/2014 09:30,Birmingham Highways - Lighting,In depot / yard,Birmingham,West Midlands,"B-Struck by moving, flying or falling object"
Injury & Riddor,C - RIDDOR Over 7 Days,25/02/2014 09:30,Birmingham Highways - Lighting,In depot / yard,Birmingham,West Midlands,"B-Struck by moving, flying or falling object"
Injury & Riddor,C - RIDDOR Over 7 Days,25/02/2014 09:30,Birmingham Highways - Lighting,In depot / yard,Birmingham,West Midlands,"B-Struck by moving, flying or falling object"
Injury & Riddor,C - RIDDOR Over 7 Days,25/02/2014 09:30,Birmingham Highways - Lighting,In depot / yard,Birmingham,West Midlands,"B-Struck by moving, flying or falling object"
Injury & Riddor,C - RIDDOR Over 7 Days,25/02/2014 09:30,Birmingham Highways - Lighting,In depot / yard,Birmingham,West Midlands,"B-Struck by moving, flying or falling object"
Injury & Riddor,E - No Lost Time Personal Injury,13/06/2014 08:15,Birmingham Highways - Lighting,In depot / yard,Birmingham,West Midlands,"B-Struck by moving, flying or falling object"
Injury & Riddor,D - Lost Time (3 days or less),28/10/2014 09:30,Birmingham Highways - Lighting,In depot / yard,Birmingham,West Midlands,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,E - No Lost Time Personal Injury,24/01/2013 07:40,Birmingham Highways - Lighting,In depot / yard,Birmingham,West Midlands,"F-Slipped, tripped or fell on the same level"
Injury & Riddor,E - No Lost Time Personal Injury,29/09/2014 08:30,Birmingham Highways - Lighting,General,Birmingham,West Midlands,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,K - Road Traffic Accident With Injury,10/04/2015 03:45,Birmingham Highways - Lighting,On highway,Birmingham,West Midlands,"F-Slipped, tripped or fell on the same level"
Injury & Riddor,E - No Lost Time Personal Injury,04/08/2014 10:00,Birmingham Highways - Lighting,On highway,Birmingham,West Midlands,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,R - Non Work Related Incident,19/06/2014 11:00,Birmingham Highways - Lighting,On highway,Birmingham,West Midlands,P-Other
Injury & Riddor,E - No Lost Time Personal Injury,03/06/2013 10:30,Birmingham Highways - Lighting,On highway,Birmingham,West Midlands,"F-Slipped, tripped or fell on the same level"
Injury & Riddor,E - No Lost Time Personal Injury,25/02/2013 11:30,Birmingham Highways - Lighting,Outdoors (not highway or railway),Birmingham,West Midlands,"B-Struck by moving, flying or falling object"
Injury & Riddor,E - No Lost Time Personal Injury,28/04/2016 00:00,Birmingham Highways - Lighting,Outdoors (not highway or railway),Birmingham,West Midlands,P-Other
Injury & Riddor,E - No Lost Time Personal Injury,11/03/2013 08:00,Birmingham Highways - Lighting,Outdoors (not highway or railway),Birmingham,West Midlands,"B-Struck by moving, flying or falling object"
Injury & Riddor,E - No Lost Time Personal Injury,17/03/2015 10:00,Birmingham Highways - Lighting,On highway,Birmingham,West Midlands,"F-Slipped, tripped or fell on the same level"
Injury & Riddor,E - No Lost Time Personal Injury,21/01/2013 14:40,Birmingham Highways - Lighting,On highway,Birmingham,West Midlands,D-Struck against something fixed or stationary
Injury & Riddor,E - No Lost Time Personal Injury,23/09/2014 00:00,Birmingham Highways - Lighting,Outdoors (not highway or railway),Birmingham,West Midlands,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,E - No Lost Time Personal Injury,18/10/2015 10:30,Birmingham Highways - Lighting,On highway,Birmingham,West Midlands,
Injury & Riddor,E - No Lost Time Personal Injury,22/10/2013 11:16,Birmingham Highways - Lighting,On highway,Birmingham,West Midlands,"F-Slipped, tripped or fell on the same level"
Injury & Riddor,E - No Lost Time Personal Injury,07/01/2013 09:00,Birmingham Highways - Lighting,On highway,Birmingham,West Midlands,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,C - RIDDOR Over 7 Days,12/03/2013 14:42,Birmingham Highways - Lighting,On highway,Birmingham,West Midlands,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,E - No Lost Time Personal Injury,08/10/2013 06:00,Birmingham Highways - Lighting,On highway,Birmingham,West Midlands,"F-Slipped, tripped or fell on the same level"
Injury & Riddor,D - Lost Time (3 days or less),10/10/2014 15:30,Birmingham Highways - Lighting,Outdoors (not highway or railway),Birmingham,West Midlands,"B-Struck by moving, flying or falling object"
Injury & Riddor,R - Non Work Related Incident,23/07/2013 10:00,Birmingham Highways - Lighting,On highway,Birmingham,West Midlands,"F-Slipped, tripped or fell on the same level"
Injury & Riddor,E - No Lost Time Personal Injury,22/04/2013 07:15,Birmingham Highways - Lighting,On highway,Birmingham,West Midlands,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,D - Lost Time (3 days or less),04/02/2014 10:45,Birmingham Highways - Lighting,On highway,Birmingham,West Midlands,"F-Slipped, tripped or fell on the same level"
Injury & Riddor,C - RIDDOR Over 7 Days,06/09/2016 10:30,Birmingham Highways - Lighting,In depot / yard,Birmingham,West Midlands,H-Fall from a height
Injury & Riddor,R - Non Work Related Incident,18/11/2014 00:00,Birmingham Highways - Lighting,On highway,Birmingham,West Midlands,"F-Slipped, tripped or fell on the same level"
Injury & Riddor,E - No Lost Time Personal Injury,25/03/2013 09:25,Birmingham Highways - Lighting,Outdoors (not highway or railway),Birmingham,West Midlands,"F-Slipped, tripped or fell on the same level"
Injury & Riddor,B - RIDDOR Specified Injury,20/12/2013 11:20,Birmingham Highways - Lighting,On highway,Birmingham,West Midlands,"B-Struck by moving, flying or falling object"
Injury & Riddor,B - RIDDOR Specified Injury,20/12/2013 11:20,Birmingham Highways - Lighting,On highway,Birmingham,West Midlands,"B-Struck by moving, flying or falling object"
Injury & Riddor,B - RIDDOR Specified Injury,20/12/2013 11:20,Birmingham Highways - Lighting,On highway,Birmingham,West Midlands,"B-Struck by moving, flying or falling object"
Injury & Riddor,B - RIDDOR Specified Injury,20/12/2013 11:20,Birmingham Highways - Lighting,On highway,Birmingham,West Midlands,"B-Struck by moving, flying or falling object"
Injury & Riddor,B - RIDDOR Specified Injury,20/12/2013 11:20,Birmingham Highways - Lighting,On highway,Birmingham,West Midlands,"B-Struck by moving, flying or falling object"
Injury & Riddor,E - No Lost Time Personal Injury,13/09/2013 11:00,Birmingham Highways - Lighting,On highway,Birmingham,West Midlands,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,R - Non Work Related Incident,21/11/2016 12:00,Birmingham Highways - Lighting,On highway,Birmingham,West Midlands,"B-Struck by moving, flying or falling object"
Injury & Riddor,K - Road Traffic Accident With Injury,13/05/2013 13:45,Birmingham Highways - Lighting,On highway,Birmingham,West Midlands,C-Struck by a moving vehicle
Injury & Riddor,D - Lost Time (3 days or less),12/07/2013 10:31,Birmingham Highways - Lighting,On highway,Birmingham,West Midlands,N-Injured by animal
Injury & Riddor,E - No Lost Time Personal Injury,25/05/2016 00:00,Birmingham Highways - Lighting,In depot / yard,Birmingham,West Midlands,"F-Slipped, tripped or fell on the same level"
Injury & Riddor,E - No Lost Time Personal Injury,09/04/2014 15:00,Birmingham Highways - Lighting,Outdoors (not highway or railway),Birmingham,West Midlands,"B-Struck by moving, flying or falling object"
Injury & Riddor,E - No Lost Time Personal Injury,09/04/2014 15:00,Birmingham Highways - Lighting,Outdoors (not highway or railway),Birmingham,West Midlands,"B-Struck by moving, flying or falling object"
Injury & Riddor,E - No Lost Time Personal Injury,09/04/2014 15:00,Birmingham Highways - Lighting,Outdoors (not highway or railway),Birmingham,West Midlands,"B-Struck by moving, flying or falling object"
Injury & Riddor,E - No Lost Time Personal Injury,09/04/2014 15:00,Birmingham Highways - Lighting,Outdoors (not highway or railway),Birmingham,West Midlands,"B-Struck by moving, flying or falling object"
Injury & Riddor,E - No Lost Time Personal Injury,09/04/2014 15:00,Birmingham Highways - Lighting,Outdoors (not highway or railway),Birmingham,West Midlands,"B-Struck by moving, flying or falling object"
Injury & Riddor,E - No Lost Time Personal Injury,09/04/2014 15:00,Birmingham Highways - Lighting,Outdoors (not highway or railway),Birmingham,West Midlands,"B-Struck by moving, flying or falling object"
Injury & Riddor,E - No Lost Time Personal Injury,09/04/2014 15:00,Birmingham Highways - Lighting,Outdoors (not highway or railway),Birmingham,West Midlands,"B-Struck by moving, flying or falling object"
Injury & Riddor,E - No Lost Time Personal Injury,09/04/2014 15:00,Birmingham Highways - Lighting,Outdoors (not highway or railway),Birmingham,West Midlands,"B-Struck by moving, flying or falling object"
Injury & Riddor,C - RIDDOR Over 7 Days,11/06/2013 15:30,Birmingham Highways - Lighting,On highway,Birmingham,West Midlands,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,C - RIDDOR Over 7 Days,11/06/2013 15:30,Birmingham Highways - Lighting,On highway,Birmingham,West Midlands,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,E - No Lost Time Personal Injury,25/01/2013 12:36,Birmingham Highways - Lighting,Outdoors (not highway or railway),Birmingham,West Midlands,
Injury & Riddor,E - No Lost Time Personal Injury,01/10/2016 00:00,Birmingham Highways - Lighting,On highway,Birmingham,West Midlands,P-Other
Injury & Riddor,E - No Lost Time Personal Injury,07/07/2014 07:30,Birmingham Highways - Lighting,On highway,Birmingham,West Midlands,
Injury & Riddor,E - No Lost Time Personal Injury,24/07/2013 07:45,Birmingham Highways - Lighting,In depot / yard,Birmingham,West Midlands,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,R - Non Work Related Incident,02/08/2016 00:00,Birmingham Highways - Lighting,In depot / yard,Birmingham,West Midlands,P-Other
Injury & Riddor,E - No Lost Time Personal Injury,03/10/2013 10:55,Birmingham Highways - Lighting,In depot / yard,Birmingham,West Midlands,P-Other
Injury & Riddor,E - No Lost Time Personal Injury,13/08/2015 04:30,Birmingham Highways - Lighting,In depot / yard,Birmingham,West Midlands,"F-Slipped, tripped or fell on the same level"
Injury & Riddor,E - No Lost Time Personal Injury,11/07/2016 07:20,Birmingham Highways - Lighting,In depot / yard,Birmingham,West Midlands,
Injury & Riddor,C - Lost Time 4 to 7 Days,14/07/2014 16:00,Birmingham Highways - Lighting,In office / building,Birmingham,West Midlands,"F-Slipped, tripped or fell on the same level"
Injury & Riddor,E - No Lost Time Personal Injury,02/11/2013 08:20,Birmingham Highways - Lighting,On highway,Birmingham,West Midlands,"B-Struck by moving, flying or falling object"
Injury & Riddor,E - No Lost Time Personal Injury,03/12/2013 12:30,Birmingham Highways - Lighting,On highway,Birmingham,West Midlands,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,C - Lost Time 4 to 7 Days,01/08/2013 09:27,Birmingham Highways - Lighting,General,Birmingham,West Midlands,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,D - Lost Time (3 days or less),28/05/2013 15:45,Birmingham Highways - Lighting,On highway,Birmingham,West Midlands,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,E - No Lost Time Personal Injury,29/12/2016 13:15,Birmingham Highways - Lighting,In depot / yard,Birmingham,West Midlands,"F-Slipped, tripped or fell on the same level"
Injury & Riddor,E - No Lost Time Personal Injury,05/10/2014 10:00,Birmingham Highways - Lighting,On highway,Birmingham,West Midlands,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,E - No Lost Time Personal Injury,16/05/2013 12:58,Birmingham Highways - Lighting,General,Birmingham,West Midlands,K-Exposure to fire / heat
Injury & Riddor,E - No Lost Time Personal Injury,12/06/2013 10:00,Birmingham Highways - Support,In depot / yard,Birmingham,West Midlands,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,B - RIDDOR Specified Injury,12/03/2016 05:50,Birmingham Highways - Support,In depot / yard,Birmingham,West Midlands,H-Fall from a height
Injury & Riddor,E - No Lost Time Personal Injury,24/08/2016 00:00,Birmingham Highways - Support,In office / building,Birmingham,West Midlands,N-Injured by animal
Injury & Riddor,E - No Lost Time Personal Injury,22/01/2014 14:00,Birmingham Highways - Support,On highway,Birmingham,West Midlands,C-Struck by a moving vehicle
Injury & Riddor,R - Non Work Related Incident,14/01/2016 13:15,Birmingham Highways - Support,In office / building,Birmingham,West Midlands,P-Other
Injury & Riddor,R - Non Work Related Incident,19/10/2016 07:30,Birmingham Highways - Support,In workshop / fabrication area,Birmingham,West Midlands,J-Exposure or contact with a harmful substance
Injury & Riddor,R - Non Work Related Incident,24/08/2015 17:50,Birmingham Highways - Support,On highway,Birmingham,West Midlands,C-Struck by a moving vehicle
Injury & Riddor,E - No Lost Time Personal Injury,10/02/2014 10:30,Birmingham Highways - Support,General,Birmingham,West Midlands,"F-Slipped, tripped or fell on the same level"
Injury & Riddor,E - No Lost Time Personal Injury,15/03/2013 11:00,Birmingham Highways - Support,On highway,Birmingham,West Midlands,D-Struck against something fixed or stationary
Injury & Riddor,E - No Lost Time Personal Injury,08/01/2015 00:00,Birmingham Highways - Support,In depot / yard,Birmingham,West Midlands,D-Struck against something fixed or stationary
Injury & Riddor,E - No Lost Time Personal Injury,19/03/2013 09:50,Birmingham Highways - Support,General,Birmingham,West Midlands,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,E - No Lost Time Personal Injury,05/08/2013 11:15,Birmingham Highways - Support,On highway,Birmingham,West Midlands,"F-Slipped, tripped or fell on the same level"
Injury & Riddor,E - No Lost Time Personal Injury,11/09/2013 13:50,Birmingham Highways - Support,In depot / yard,Birmingham,West Midlands,D-Struck against something fixed or stationary
Injury & Riddor,E - No Lost Time Personal Injury,08/06/2013 11:00,Birmingham Highways - Support,In depot / yard,Birmingham,West Midlands,"B-Struck by moving, flying or falling object"
Injury & Riddor,R - Non Work Related Incident,24/11/2016 10:00,Birmingham Highways - Support,In office / building,Birmingham,West Midlands,P-Other
Injury & Riddor,E - No Lost Time Personal Injury,09/01/2014 07:30,Birmingham Highways - Support,In depot / yard,Birmingham,West Midlands,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,E - No Lost Time Personal Injury,06/01/2016 08:16,Birmingham Highways - Support,In office / building,Birmingham,West Midlands,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,E - No Lost Time Personal Injury,08/05/2013 00:00,Birmingham Highways - Support,In depot / yard,Birmingham,West Midlands,D-Struck against something fixed or stationary
Injury & Riddor,D - Lost Time (3 days or less),28/08/2014 15:30,United Utilities - Metering,In office / building,Widnes,North West,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,C - Lost Time 4 to 7 Days,08/01/2015 12:30,Severn Trent - AMP 5 Lot 1 (West),In office / building,Wilden,East,"B-Struck by moving, flying or falling object"
Injury & Riddor,C - Lost Time 4 to 7 Days,08/01/2015 12:30,Severn Trent - AMP 5 Lot 1 (West),In office / building,Wilden,East,"B-Struck by moving, flying or falling object"
Injury & Riddor,C - Lost Time 4 to 7 Days,08/01/2015 12:30,Severn Trent - AMP 5 Lot 1 (West),In office / building,Wilden,East,"B-Struck by moving, flying or falling object"
Injury & Riddor,R - Non Work Related Incident,28/10/2014 10:00,Blackthorn Primary School,In office / building,Northampton,East Midlands,H-Fall from a height
Injury & Riddor,C - Lost Time 4 to 7 Days,08/01/2015 12:30,Severn Trent - AMP 5 Lot 1 (West),In office / building,Wilden,East,"B-Struck by moving, flying or falling object"
Injury & Riddor,C - Lost Time 4 to 7 Days,08/01/2015 12:30,Severn Trent - AMP 5 Lot 1 (West),In office / building,Wilden,East,"B-Struck by moving, flying or falling object"
Injury & Riddor,C - RIDDOR Over 7 Days,09/02/2016 10:30,Gloucestershire Highways - Shire Hall OCR / Admin,On highway,Winchcombe,South West,"B-Struck by moving, flying or falling object"
Injury & Riddor,E - No Lost Time Personal Injury,20/09/2016 11:30,Gloucestershire Highways - Shire Hall OCR / Admin,On highway,Winchcombe,South West,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,E - No Lost Time Personal Injury,21/07/2016 09:00,MoJ TFM Prisons - North West,General,Windermere,North West,D-Struck against something fixed or stationary
Injury & Riddor,C - RIDDOR Over 7 Days,28/10/2015 16:35,United Utilities - Waste Water,In depot / yard,Winnington,North West,"B-Struck by moving, flying or falling object"
Injury & Riddor,C - RIDDOR Over 7 Days,28/10/2015 16:35,United Utilities - Waste Water,In depot / yard,Winnington,North West,"B-Struck by moving, flying or falling object"
Injury & Riddor,R - Non Work Related Incident,14/01/2013 14:35,Bradford Schools FM,In office / building,Bradford,Yorkshire and the Humbler,H-Fall from a height
Injury & Riddor,E - No Lost Time Personal Injury,12/02/2013 09:30,Bradford Schools FM,In office / building,Bradford,Yorkshire and the Humbler,"B-Struck by moving, flying or falling object"
Injury & Riddor,D - Lost Time (3 days or less),02/12/2013 15:25,Bradford Schools FM,In office / building,Bradford,Yorkshire and the Humbler,P-Other
Injury & Riddor,E - No Lost Time Personal Injury,23/01/2014 15:40,Bradford Schools FM,In office / building,Bradford,Yorkshire and the Humbler,D-Struck against something fixed or stationary
Injury & Riddor,E - No Lost Time Personal Injury,25/03/2013 07:00,Bradford Schools FM,In office / building,Bradford,Yorkshire and the Humbler,"F-Slipped, tripped or fell on the same level"
Injury & Riddor,E - No Lost Time Personal Injury,20/06/2013 16:05,Bradford Schools FM,In office / building,Bradford,Yorkshire and the Humbler,D-Struck against something fixed or stationary
Injury & Riddor,E - No Lost Time Personal Injury,13/02/2013 17:15,Bradford Schools FM,In depot / yard,Bradford,Yorkshire and the Humbler,"F-Slipped, tripped or fell on the same level"
Injury & Riddor,E - No Lost Time Personal Injury,01/11/2013 10:45,Bradford Schools FM,In office / building,Bradford,Yorkshire and the Humbler,"B-Struck by moving, flying or falling object"
Injury & Riddor,R - Non Work Related Incident,10/01/2013 10:00,Bradford Schools FM,In office / building,Bradford,Yorkshire and the Humbler,M-Contact with electricity or electrical discharge
Injury & Riddor,R - Non Work Related Incident,10/01/2013 10:00,Bradford Schools FM,In office / building,Bradford,Yorkshire and the Humbler,M-Contact with electricity or electrical discharge
Injury & Riddor,E - No Lost Time Personal Injury,30/01/2014 07:30,Bradford Schools FM,Outdoors (not highway or railway),Bradford,Yorkshire and the Humbler,"F-Slipped, tripped or fell on the same level"
Injury & Riddor,E - No Lost Time Personal Injury,28/03/2013 10:00,Bradford Schools FM,General,Bradford,Yorkshire and the Humbler,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,E - No Lost Time Personal Injury,01/05/2013 15:00,Bradford Schools FM,In office / building,Bradford,Yorkshire and the Humbler,D-Struck against something fixed or stationary
Injury & Riddor,E - No Lost Time Personal Injury,31/03/2014 12:30,Bradford Schools FM,In depot / yard,Bradford,Yorkshire and the Humbler,P-Other
Injury & Riddor,E - No Lost Time Personal Injury,03/12/2013 06:55,Bradford Schools FM,In office / building,Bradford,Yorkshire and the Humbler,"F-Slipped, tripped or fell on the same level"
Injury & Riddor,R - Non Work Related Incident,14/10/2013 14:15,Bradford Schools FM,In office / building,Bradford,Yorkshire and the Humbler,"B-Struck by moving, flying or falling object"
Injury & Riddor,R - Non Work Related Incident,30/09/2013 10:30,Bradford Schools FM,In office / building,Bradford,Yorkshire and the Humbler,P-Other
Injury & Riddor,R - Non Work Related Incident,10/01/2013 11:00,Bradford Schools FM,In office / building,Bradford,Yorkshire and the Humbler,M-Contact with electricity or electrical discharge
Injury & Riddor,R - Non Work Related Incident,04/04/2014 09:30,Bradford Schools FM,In office / building,Bradford,Yorkshire and the Humbler,"F-Slipped, tripped or fell on the same level"
Injury & Riddor,R - Non Work Related Incident,21/11/2013 09:00,Bradford Schools FM,In office / building,Bradford,Yorkshire and the Humbler,"B-Struck by moving, flying or falling object"
Injury & Riddor,E - No Lost Time Personal Injury,14/02/2013 17:00,Bradford Schools FM,In office / building,Bradford,Yorkshire and the Humbler,"B-Struck by moving, flying or falling object"
Injury & Riddor,E - No Lost Time Personal Injury,16/12/2013 16:00,Bradford Schools FM,In office / building,Bradford,Yorkshire and the Humbler,D-Struck against something fixed or stationary
Injury & Riddor,E - No Lost Time Personal Injury,08/03/2013 09:40,Bradford Schools FM,In office / building,Bradford,Yorkshire and the Humbler,"B-Struck by moving, flying or falling object"
Injury & Riddor,E - No Lost Time Personal Injury,23/05/2013 17:49,Bradford Schools FM,General,Bradford,Yorkshire and the Humbler,"B-Struck by moving, flying or falling object"
Injury & Riddor,E - No Lost Time Personal Injury,05/12/2013 13:08,Bradford Schools FM,Outdoors (not highway or railway),Bradford,Yorkshire and the Humbler,"B-Struck by moving, flying or falling object"
Injury & Riddor,E - No Lost Time Personal Injury,17/06/2013 16:30,Bradford Schools FM,General,Bradford,Yorkshire and the Humbler,"F-Slipped, tripped or fell on the same level"
Injury & Riddor,E - No Lost Time Personal Injury,23/05/2013 11:20,Bradford Schools FM,In office / building,Bradford,Yorkshire and the Humbler,"B-Struck by moving, flying or falling object"
Injury & Riddor,E - No Lost Time Personal Injury,24/06/2013 10:45,Bradford Schools FM,In office / building,Bradford,Yorkshire and the Humbler,D-Struck against something fixed or stationary
Injury & Riddor,E - No Lost Time Personal Injury,14/02/2013 10:30,Bradford Schools FM,General,Bradford,Yorkshire and the Humbler,D-Struck against something fixed or stationary
Injury & Riddor,R - Non Work Related Incident,16/05/2013 14:30,Bradford Schools FM,In office / building,Bradford,Yorkshire and the Humbler,M-Contact with electricity or electrical discharge
Injury & Riddor,E - No Lost Time Personal Injury,25/02/2013 08:30,Bradford Schools FM,General,Bradford,Yorkshire and the Humbler,D-Struck against something fixed or stationary
Injury & Riddor,C - Lost Time 4 to 7 Days,16/12/2013 21:45,Bradford Schools FM,In office / building,Bradford,Yorkshire and the Humbler,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,R - Non Work Related Incident,06/09/2013 06:45,Bradford Schools FM,In office / building,Bradford,Yorkshire and the Humbler,"F-Slipped, tripped or fell on the same level"
Injury & Riddor,E - No Lost Time Personal Injury,09/05/2013 13:30,Bradford Schools FM,In office / building,Bradford,Yorkshire and the Humbler,K-Exposure to fire / heat
Injury & Riddor,R - Non Work Related Incident,12/02/2013 10:20,Bradford Schools FM,In office / building,Bradford,Yorkshire and the Humbler,"B-Struck by moving, flying or falling object"
Injury & Riddor,E - No Lost Time Personal Injury,03/10/2013 14:50,Bradford Schools FM,In office / building,Bradford,Yorkshire and the Humbler,"B-Struck by moving, flying or falling object"
Injury & Riddor,E - No Lost Time Personal Injury,06/06/2013 16:10,Bradford Schools FM,In office / building,Bradford,Yorkshire and the Humbler,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,E - No Lost Time Personal Injury,28/09/2013 07:30,Bradford Schools FM,General,Bradford,Yorkshire and the Humbler,D-Struck against something fixed or stationary
Injury & Riddor,R - Non Work Related Incident,17/02/2014 14:50,Bradford Schools FM,General,Bradford,Yorkshire and the Humbler,"F-Slipped, tripped or fell on the same level"
Injury & Riddor,R - Non Work Related Incident,18/01/2014 12:15,Bradford Schools FM,General,Bradford,Yorkshire and the Humbler,P-Other
Injury & Riddor,E - No Lost Time Personal Injury,11/03/2013 06:40,Bradford Schools FM,In office / building,Bradford,Yorkshire and the Humbler,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,E - No Lost Time Personal Injury,14/06/2013 17:45,Bradford Schools FM,General,Bradford,Yorkshire and the Humbler,J-Exposure or contact with a harmful substance
